sample_id,mode,total_decode_time_ms,draft_time_ms,target_verify_time_ms,accept_reject_time_ms,generated_tokens,drafted_tokens,accepted_tokens,acceptance_rate,decode_tok_per_s
0,true_target_only,9580.148,0.000,9533.939,35.251,161,0,0,0.000000,16.806
1,spec_draft_max_0,13674.342,3326.465,10300.248,36.605,161,0,0,0.000000,11.774
2,speculative,10458.391,3243.639,7171.401,35.589,163,145,99,0.682759,15.586
3,true_target_only,10134.006,0.000,10087.142,35.822,161,0,0,0.000000,15.887
4,spec_draft_max_0,13338.159,3146.557,10142.084,36.703,161,0,0,0.000000,12.071
5,speculative,10561.193,3389.558,7133.184,33.100,163,147,99,0.673469,15.434
6,true_target_only,9771.635,0.000,9725.596,35.360,161,0,0,0.000000,16.476
7,spec_draft_max_0,12964.311,3073.099,9840.728,37.361,161,0,0,0.000000,12.419
8,speculative,11389.808,3445.346,7902.060,36.322,161,146,91,0.623288,14.135
9,true_target_only,9749.082,0.000,9702.035,35.780,161,0,0,0.000000,16.514
10,spec_draft_max_0,135903.604,4914.733,130940.847,35.152,161,0,0,0.000000,1.185
11,speculative,12085.738,3804.084,8243.733,31.543,163,137,98,0.715328,13.487
12,true_target_only,20806.774,0.000,20761.140,34.786,161,0,0,0.000000,7.738
13,spec_draft_max_0,16273.006,4132.780,12097.002,32.509,161,0,0,0.000000,9.894
14,speculative,10803.242,3269.901,7493.685,34.820,164,137,102,0.744526,15.181
