sample_id,mode,total_decode_time_ms,draft_time_ms,target_verify_time_ms,accept_reject_time_ms,generated_tokens,drafted_tokens,accepted_tokens,acceptance_rate,decode_tok_per_s
0,true_target_only,28863.732,0.000,28832.889,23.762,161,0,0,0.000000,5.578
1,spec_draft_max_0,33581.761,3713.862,29814.332,40.222,161,0,0,0.000000,4.794
2,speculative,40350.968,8200.251,32108.930,32.655,165,149,97,0.651007,4.089
3,true_target_only,31339.438,0.000,31290.580,37.044,161,0,0,0.000000,5.137
5,speculative,47682.404,9291.709,38340.772,41.336,161,135,98,0.725926,3.377
6,true_target_only,33827.890,0.000,33773.701,39.909,161,0,0,0.000000,4.759
8,speculative,119977.743,11766.518,108162.491,40.385,164,148,100,0.675676,1.367
4,spec_draft_max_0,61761.421,12861.589,48837.226,43.460,161,0,0,0.000000,2.607
7,spec_draft_max_0,56638.825,8595.933,47979.513,47.470,161,0,0,0.000000,2.843
9,true_target_only,34976.883,0.000,34908.658,51.791,161,0,0,0.000000,4.603
10,spec_draft_max_0,56016.676,10928.334,45020.494,50.757,161,0,0,0.000000,2.874
11,speculative,43697.023,6854.662,36795.666,40.903,161,152,98,0.644737,3.684
12,true_target_only,34963.784,0.000,34899.611,49.860,161,0,0,0.000000,4.605
13,spec_draft_max_0,40615.498,4276.314,36285.319,41.551,161,0,0,0.000000,3.964
14,speculative,53447.569,7284.889,46100.249,52.825,163,142,95,0.669014,3.050
