metric,value
framework_overhead_ms,16928.490800
speculative_vs_true_speedup,0.630703
speculative_vs_zero_draft_speedup,0.911310
target_verify_reduction_ms,-10714.244800
framework_overhead_ms_median,22188.786000
speculative_vs_true_speedup_median,0.709603
speculative_vs_zero_draft_speedup_median,1.175017
target_verify_reduction_ms_median,6679.722000
draft_overhead_ms,8679.605800
net_time_saved_ms,-28236.796000
accepted_tokens_per_drafted_token,0.672176
accepted_tokens_per_sample,97.600000
