metric,value
framework_overhead_ms,5034.058333
speculative_vs_true_speedup,0.788476
speculative_vs_zero_draft_speedup,1.313421
target_verify_reduction_ms,2756.196333
framework_overhead_ms_median,4670.203000
speculative_vs_true_speedup_median,0.781058
speculative_vs_zero_draft_speedup_median,1.283064
target_verify_reduction_ms_median,2920.471000
draft_overhead_ms,2536.682667
net_time_saved_ms,-2112.832333
accepted_tokens_per_drafted_token,0.738636
accepted_tokens_per_sample,43.333333
