sample_id,mode,total_decode_time_ms,draft_time_ms,target_verify_time_ms,accept_reject_time_ms,generated_tokens,drafted_tokens,accepted_tokens,acceptance_rate,decode_tok_per_s
0,true_target_only,11747.488,0.000,11686.105,47.128,161,0,0,0.000000,13.705
1,spec_draft_max_0,18061.579,4807.475,13195.461,44.554,161,0,0,0.000000,8.914
2,speculative,10639.441,3836.691,6758.949,38.338,168,169,115,0.680473,15.790
3,true_target_only,15215.857,0.000,15169.904,35.058,161,0,0,0.000000,10.581
4,spec_draft_max_0,12665.169,3004.376,9612.281,36.143,161,0,0,0.000000,12.712
5,speculative,11280.262,3467.530,7771.750,36.178,171,163,108,0.662577,15.159
6,true_target_only,14660.674,0.000,14614.551,34.721,161,0,0,0.000000,10.982
7,spec_draft_max_0,12819.797,2987.766,9785.631,35.317,161,0,0,0.000000,12.559
8,speculative,10546.212,3362.432,7143.911,35.320,161,152,101,0.664474,15.266
9,true_target_only,121622.764,0.000,121574.472,37.350,161,0,0,0.000000,1.324
10,spec_draft_max_0,12448.496,2930.469,9470.458,36.008,161,0,0,0.000000,12.933
11,speculative,11594.632,3539.790,8012.473,37.001,162,158,94,0.594937,13.972
12,true_target_only,161785.450,0.000,161739.082,35.944,161,0,0,0.000000,0.995
13,spec_draft_max_0,12959.247,3226.090,9685.660,35.151,161,0,0,0.000000,12.424
14,speculative,10342.847,3499.022,6806.878,32.644,164,164,112,0.682927,15.856
